id,name,summary,url,thumbnail,license_id,license_name,creator_username,creator_handle,creator_url,likes,makes,category
3161,3D BENCHY,"Author: CreativeTools
3DBenchy is a 3D model specifically designed for testing and benchmarking 3D printers.",https://www.printables.com/model/3161-3d-benchy,https://media.printables.com/media/prints/3161/images/20206_70fde6a0-6da1-4522-ba46-25f1bece7199/benchy.jpg,7,Creative Commons — Public Domain,Prusa Research,Prusa3D,https://www.printables.com/@Prusa3D,20876,8656,Test Models
981111,Dummy 13 - version 1.0!,We're finally out of beta! Your favorite printable action figure is now better than ever.,https://www.printables.com/model/981111-dummy-13-version-10,https://media.printables.com/media/prints/981111/images/7608415_5e574d64-9213-459b-9de4-6aa2f00f1884_d36b0ddc-c7d9-4446-9cae-7d8fdd970e08/rainbow-text.jpg,1,Creative Commons — Attribution,soozafone,soozafone,https://www.printables.com/@soozafone,27549,2678,Action Figures & Statues
593185,DUMMY 13 Printable Jointed Figure (BETA FILES),"Another new addition to the Lucky 13 family. A work in progress, but ready enough to print.",https://www.printables.com/model/593185-dummy-13-printable-jointed-figure-beta-files,https://media.printables.com/media/prints/593185/images/4864098_747f5ba4-62e1-40f8-92de-64668b8e2ba5_9314dd72-b7f7-4052-92de-341a2c3d2aa0/landscape.jpg,1,Creative Commons — Attribution,soozafone,soozafone,https://www.printables.com/@soozafone,22658,2124,Action Figures & Statues
148367,LUCKY 13 Printable Jointed Figure,"Lucky 13 is a fully 3D printable, highly poseable, snap-together, modular, customizable, jointed figure.",https://www.printables.com/model/148367-lucky-13-printable-jointed-figure,https://media.printables.com/media/prints/148367/images/1395959_27136944-1d13-4161-b560-6469b7a9eb61/05.jpg,1,Creative Commons — Attribution,soozafone,soozafone,https://www.printables.com/@soozafone,19940,1798,Action Figures & Statues
7876,Rotating Rings Toy,This is a pretty nice rotating rings toy which is perfect to use as a fidget toy in almost every situation.,https://www.printables.com/model/7876-rotating-rings-toy,https://media.printables.com/media/prints/7876/images/59947_dffce728-7fee-476d-81d9-250fd3af26fb/dsc01937.jpg,2,Creative Commons — Attribution  — Share Alike,Marvin,Marvin,https://www.printables.com/@Marvin,21429,2892,Other Toys & Games
152557,Gravity Broom Holder,Easy-print broom holder for handles 21-28mm,https://www.printables.com/model/152557-gravity-broom-holder,https://media.printables.com/media/prints/152557/images/1434712_ec778d33-550d-44db-a3b6-cb7d0a96ea59/broomholder1.jpg,2,Creative Commons — Attribution  — Share Alike,LoboCNC,LoboCNC,https://www.printables.com/@LoboCNC,28144,1623,Other House Equipment
928,Yet Another Fidget Infinity Cube v2,"v2 of my fidget cube features easier-to-print joints, more durable construction, and just as much fun!",https://www.printables.com/model/928-yet-another-fidget-infinity-cube-v2,https://media.printables.com/media/prints/928/images/4740324_2fa4be7c-c068-4ef8-a786-34b73eb35676_56d1d6b8-f490-482a-91f6-6ff7af1997db/00100dportrait_00100_burst20180423003754672_cover.jpg,2,Creative Commons — Attribution  — Share Alike,Austin Vojta,austinvojta,https://www.printables.com/@austinvojta,15057,2308,Puzzles & Brain-teasers
46241,Flexi Rex with stronger links,The now ‘standard’ more robust and more balanced version of Kirbs' classic Flexi Rex model.,https://www.printables.com/model/46241-flexi-rex-with-stronger-links,https://media.printables.com/media/prints/46241/images/460061_192b3d1b-4544-4572-b316-8f405536938e/5e04faf6b1ebee0735ffb82771ca9051_display_large_46.jpg,2,Creative Commons — Attribution  — Share Alike,DrLex,DrLex,https://www.printables.com/@DrLex,16753,2760,Other Toys & Games
173788,Customizable & stackable beer crate for all types of batteries,Customizable (for CAD owners) & stackable beer crate for batteries :),https://www.printables.com/model/173788-customizable-stackable-beer-crate-for-all-types-of,https://media.printables.com/media/prints/173788/images/1633277_f59766e3-c5df-44bf-b96c-979498cb168e/img_20220418_141353528.jpg,7,Creative Commons — Public Domain,CAD-Guy,CADGuy,https://www.printables.com/@CADGuy,20580,2048,Organizers
564262,Portable Cable Organizer / Winder,Clean up that tangle of wires with this portable cable organizer which winds up to be tucked cleanly away.,https://www.printables.com/model/564262-portable-cable-organizer-winder,https://media.printables.com/media/prints/564262/images/4519807_a7db1182-86e1-43e0-9357-0fd7784a9063/20230826_102119.jpg,1,Creative Commons — Attribution,squinn,squinn,https://www.printables.com/@squinn,17968,1420,Other Gadgets
131488,Spiral Vase Rose,A rose designed to print in spiral vase mode.,https://www.printables.com/model/131488-spiral-vase-rose,https://media.printables.com/media/prints/131488/images/4214139_996b8f90-6b8f-494d-9597-a2cfde30e16a/vaserose_wlogo.jpg,1,Creative Commons — Attribution,lytta,lytta,https://www.printables.com/@lytta,15316,2103,Other Art & Designs
495173,Flat Pocket Whistle,"A really loud, flat whistle that you can comfortably carry in your wallet.",https://www.printables.com/model/495173-flat-pocket-whistle,https://media.printables.com/media/prints/495173/images/4033583_c769a700-6867-4df6-ad44-39356f304d5d/bild-1.jpg,2,Creative Commons — Attribution  — Share Alike,Jonas Daehnert,PhoneDesigner,https://www.printables.com/@PhoneDesigner,12240,1358,Audio
285368,V29 whistle,118db whistle! original creator: https://www.thingiverse.com/thing:1179160/files,https://www.printables.com/model/285368-v29-whistle,https://media.printables.com/media/prints/285368/images/2520183_bdd7059c-9d24-487b-becf-5d31dbadf7bc/screenshot-2022-09-28-165459.png,1,Creative Commons — Attribution,OwaOwa,OwaOwa_381615,https://www.printables.com/@OwaOwa_381615,15363,1467,Audio
6806,Small Clip - for herb bags & other packaging,"I use these mainly to close herb bags, but I've found they're handy for all sorts packs, like breakfast cereals, tea…",https://www.printables.com/model/6806-small-clip-for-herb-bags-other-packaging,https://media.printables.com/media/prints/6806/images/47111_bcfceb79-1b2e-4c5b-8980-b02fbb34d201/untitled-2.png,7,Creative Commons — Public Domain,Mikolas Zuza,MikolasZuza,https://www.printables.com/@MikolasZuza,18232,1295,Kitchen
489585,Cute Stylized Dinosaur Toy,A happy cute longneck dinosaur toy,https://www.printables.com/model/489585-cute-stylized-dinosaur-toy,https://media.printables.com/media/prints/489585/images/3994782_8c8a9cd0-f80f-48a4-a3eb-d111af320d50/img_1121.jpg,1,Creative Commons — Attribution,BMoArtist,BMoArtist,https://www.printables.com/@BMoArtist,13681,1135,Action Figures & Statues
112181,"Complete 3D Printer test all in one (stress test, bed level test, retraction test, calibration test, tolerance test, support test)","With just one model you can test your printer for:
- Support test
- Hole test 
- Bridging test
and a lot more!!",https://www.printables.com/model/112181-complete-3d-printer-test-all-in-one-stress-test-be,https://media.printables.com/media/prints/112181/images/1551589_b8ba0dde-1804-4b6e-9c34-84785d5efe71/immagine-2022-04-10-130408.png,1,Creative Commons — Attribution,Gabbox3D,Gabbox3D,https://www.printables.com/@Gabbox3D,11339,485,Test Models
205674,"Nasa chainmail (4x4, 8x8, 12x16 and 32x34)",Just a chainmail designed by NASA that I thought I'd put here.,https://www.printables.com/model/205674-nasa-chainmail-4x4-8x8-12x16-and-32x34,https://media.printables.com/media/prints/205674/images/1890137_567658e4-615f-41c4-8d42-b012b6430dd7/2022-05-15-2.png,1,Creative Commons — Attribution,Hector,Hector,https://www.printables.com/@Hector,12471,655,Engineering
422353,MINI 13 Printable Jointed Figure,"Lucky 13's little sibling! Easier to print, easier to assemble, and more expressive and customizable than ever.",https://www.printables.com/model/422353-mini-13-printable-jointed-figure,https://media.printables.com/media/prints/422353/images/3498472_e82e37c4-fa20-4588-aca3-2f6d8c5c7ffa/1-rainbow.jpeg,1,Creative Commons — Attribution,soozafone,soozafone,https://www.printables.com/@soozafone,10176,870,Action Figures & Statues
61902,Small Self-Watering Seed Starter,"A simple self-watering seed starter design with a small footprint.
No excuses to get started with gardening",https://www.printables.com/model/61902-small-self-watering-seed-starter,https://media.printables.com/media/prints/61902/images/648452_a26b9107-84fb-477f-9105-e8a8d7753959/p3300146.jpg,2,Creative Commons — Attribution  — Share Alike,Quint,Quint,https://www.printables.com/@Quint,16861,525,Outdoor & Garden
159912,The Original Dragon Egg - New & Improved for 2025,"It's a threaded dragon egg, great for Easter egg hunts, gifts, and Game of Thrones fans.",https://www.printables.com/model/159912-the-original-dragon-egg-new-improved-for-2025,https://media.printables.com/media/prints/159912/images/9176123_7bbd1b9b-9a8b-4594-a2ae-b5eb8e040c48_a8d61b98-c8f4-4e0a-b95e-4fc7049f5faf/download.gif,2,Creative Commons — Attribution  — Share Alike,YBlood - Tony Youngblood,YBlood,https://www.printables.com/@YBlood,10967,975,Spring & Easter
